title,released,url
KPU Sudah Terima Surat Keberatan TKN soal MNC Jadi Penyelenggara Debat Ketiga,02/1/2024 22:28 WIB,https://news.detik.com/pemilu/d-7121415/kpu-sudah-terima-surat-keberatan-tkn-soal-mnc-jadi-penyelenggara-debat-ketiga
"Jokowi Temui Warga Penerima Manfaat di Jateng, Pastikan Distribusi Bantuan",03/1/2024 23:39 WIB,https://news.detik.com/berita/d-7123305/jokowi-temui-warga-penerima-manfaat-di-jateng-pastikan-distribusi-bantuan
Mardiono Anggap Mantan Kader PPP yang Dukung Prabowo-Gibran Penyusup,03/1/2024 23:36 WIB,https://news.detik.com/pemilu/d-7123303/mardiono-anggap-mantan-kader-ppp-yang-dukung-prabowo-gibran-penyusup
Bawaslu Pamekasan Usut Aksi Gus Miftah Bagi-bagi Uang,03/1/2024 23:17 WIB,https://news.detik.com/pemilu/d-7123299/bawaslu-pamekasan-usut-aksi-gus-miftah-bagi-bagi-uang
Kaesang Minta Pengurus PSI Banten Menangkan Prabowo-Gibran Satu Putaran,03/1/2024 23:05 WIB,https://news.detik.com/pemilu/d-7123286/kaesang-minta-pengurus-psi-banten-menangkan-prabowo-gibran-satu-putaran
TPN Ganjar-Mahfud Pastikan Tetap Dukung Penyaluran Bansos saat Pemilu,03/1/2024 23:03 WIB,https://news.detik.com/pemilu/d-7123285/tpn-ganjar-mahfud-pastikan-tetap-dukung-penyaluran-bansos-saat-pemilu
Arya Wedakarna Juga Dilaporkan ke Polda Bali soal Ucapan Penutup Kepala,03/1/2024 22:54 WIB,https://news.detik.com/berita/d-7123272/arya-wedakarna-juga-dilaporkan-ke-polda-bali-soal-ucapan-penutup-kepala
Mahfud Minta Umat Islam di RI Melebur: Tak Boleh Berkiblat ke Timur Tengah,03/1/2024 22:52 WIB,https://news.detik.com/pemilu/d-7123270/mahfud-minta-umat-islam-di-ri-melebur-tak-boleh-berkiblat-ke-timur-tengah
"Ganjar Ungkap Hasil Rapat TPN, Bahas Persiapan Debat-Relawan Dikeroyok",03/1/2024 22:50 WIB,https://news.detik.com/pemilu/d-7123269/ganjar-ungkap-hasil-rapat-tpn-bahas-persiapan-debat-relawan-dikeroyok
Upaya Jasa Raharja Optimalkan Layanan untuk Masyarakat,03/1/2024 22:33 WIB,https://news.detik.com/berita/d-7123257/upaya-jasa-raharja-optimalkan-layanan-untuk-masyarakat
"Eks Gubernur Bali Wayan Koster Diperiksa Polisi, Ada Apa?",03/1/2024 22:33 WIB,https://news.detik.com/berita/d-7123254/eks-gubernur-bali-wayan-koster-diperiksa-polisi-ada-apa
KPU Pandeglang Terima Surat Suara Presiden dan Wakil Presiden,03/1/2024 22:32 WIB,https://news.detik.com/pemilu/d-7123252/kpu-pandeglang-terima-surat-suara-presiden-dan-wakil-presiden
